"latitude","longitude","acq_date","cluster"
-37.41861,148.41507,"1/1/2020",1
-37.419624,148.399689,"1/1/2020",1
-37.414265,148.402542,"1/1/2020",1
-37.414009,148.406387,"1/1/2020",1
-37.441208,147.892807,"1/1/2020",1
-37.418655,147.521362,"1/1/2020",3
-37.397354,148.502945,"1/1/2020",1
-37.401329,148.197693,"1/1/2020",1
-37.378693,148.225708,"1/1/2020",1
-37.541676,144.712967,"1/1/2020",5
-37.403492,147.522552,"1/1/2020",3
-37.33345,147.588852,"1/1/2020",3
-37.53936,144.705383,"1/1/2020",5
-37.351536,148.240463,"1/1/2020",1
-37.382511,147.757614,"1/1/2020",1
-37.36739,147.742249,"1/1/2020",3
-37.365734,147.681046,"1/1/2020",3
-37.363903,147.621704,"1/1/2020",3
-37.268028,147.986588,"1/1/2020",1
-37.274372,147.961929,"1/1/2020",1
-37.269314,147.957993,"1/1/2020",1
-37.270332,147.950821,"1/1/2020",1
-37.229504,148.175751,"1/1/2020",1
-37.154568,148.204941,"1/1/2020",1
-37.049065,148.214798,"1/1/2020",1
-37.113663,148.101013,"1/1/2020",1
-37.076134,148.114563,"1/1/2020",1
-37.054256,148.129684,"1/1/2020",1
-37.054489,148.125824,"1/1/2020",1
-37.064217,148.122345,"1/1/2020",1
-37.053795,148.12175,"1/1/2020",1
-37.037457,148.131363,"1/1/2020",1
-37.084793,146.995056,"1/1/2020",3
-36.982159,147.346832,"1/1/2020",3
-36.969307,147.287018,"1/1/2020",3
-36.904526,146.671692,"1/1/2020",3
-36.40797,147.898849,"1/1/2020",4
-36.452179,147.789368,"1/1/2020",4
-36.423565,147.740219,"1/1/2020",4
-36.402985,147.894531,"1/1/2020",4
-36.334808,147.974884,"1/1/2020",4
-36.30547,147.949966,"1/1/2020",4
-36.28503,147.94162,"1/1/2020",4
-36.237316,147.69072,"1/1/2020",4
-36.233139,147.692398,"1/1/2020",4
-36.223206,147.68158,"1/1/2020",4
-36.13369,147.92453,"1/1/2020",4
-36.151173,147.641373,"1/1/2020",4
-36.134106,147.924179,"1/1/2020",4
-36.125046,147.903229,"1/1/2020",4
-36.128048,147.620422,"1/1/2020",4
-36.075302,147.86084,"1/1/2020",4
-36.052124,147.811478,"1/1/2020",4
-36.046387,147.818756,"1/1/2020",4
-36.052639,147.572861,"1/1/2020",4
-37.437351,148.444077,"1/1/2020",1
-37.557804,149.366104,"1/1/2020",1
-37.558266,149.359741,"1/1/2020",1
-37.557312,149.372772,"1/1/2020",1
-37.415707,148.90274,"1/1/2020",1
-37.389656,149.124603,"1/1/2020",1
-37.673023,149.02005,"1/1/2020",1
-37.674152,148.352493,"1/1/2020",1
-37.578358,149.07933,"1/1/2020",1
-37.589039,148.926422,"1/1/2020",1
-37.570572,149.189087,"1/1/2020",1
-37.570095,149.195816,"1/1/2020",1
-37.578861,149.072205,"1/1/2020",1
-37.588528,148.933777,"1/1/2020",1
-37.584023,148.998566,"1/1/2020",1
-37.583553,149.00531,"1/1/2020",1
-37.442471,148.444809,"1/1/2020",1
-37.503212,149.478806,"1/1/2020",1
-37.583511,148.933456,"1/1/2020",1
-37.580044,148.983612,"1/1/2020",1
-37.552422,149.372467,"1/1/2020",1
-37.577656,149.017929,"1/1/2020",1
-37.565174,149.19519,"1/1/2020",1
-37.584023,148.926071,"1/1/2020",1
-37.542648,149.371613,"1/1/2020",1
-37.593666,148.784912,"1/1/2020",1
-37.588329,148.863281,"1/1/2020",1
-37.561661,149.174683,"1/1/2020",1
-37.594585,148.77124,"1/1/2020",1
-37.39806,149.145645,"1/1/2020",1
-37.546608,149.384796,"1/1/2020",1
-37.54705,149.378754,"1/1/2020",1
-37.548008,149.365463,"1/1/2020",1
-37.547512,149.372299,"1/1/2020",1
-37.57851,148.932968,"1/1/2020",1
-37.541729,149.384323,"1/1/2020",1
-37.578018,148.940109,"1/1/2020",1
-37.571259,149.037827,"1/1/2020",1
-37.5989,148.630386,"1/1/2020",1
-37.541283,149.390488,"1/1/2020",1
-37.513634,149.764587,"1/1/2020",1
-37.657654,147.589981,"1/1/2020",3
-37.637924,147.74588,"1/1/2020",3
-37.556721,149.174194,"1/1/2020",1
-37.548973,149.283463,"1/1/2020",1
-37.535946,149.396378,"1/1/2020",1
-37.555786,149.187546,"1/1/2020",1
-37.55138,149.24971,"1/1/2020",1
-37.508389,149.770355,"1/1/2020",1
-37.573513,148.932388,"1/1/2020",1
-37.562508,149.091721,"1/1/2020",1
-37.566296,149.03717,"1/1/2020",1
-37.657169,147.598465,"1/1/2020",3
-37.652252,147.589706,"1/1/2020",3
-37.657898,147.585648,"1/1/2020",3
-37.65741,147.594238,"1/1/2020",3
-37.652496,147.585373,"1/1/2020",3
-37.549881,149.20079,"1/1/2020",1
-37.5364,149.390091,"1/1/2020",1
-37.537312,149.377411,"1/1/2020",1
-37.53685,149.383835,"1/1/2020",1
-37.545979,149.256027,"1/1/2020",1
-37.543583,149.289795,"1/1/2020",1
-37.551308,149.180527,"1/1/2020",1
-37.652012,147.593933,"1/1/2020",3
-37.550835,149.187241,"1/1/2020",1
-37.550358,149.194046,"1/1/2020",1
-37.558029,149.084274,"1/1/2020",1
-37.626514,148.029297,"1/1/2020",1
-37.569489,148.917496,"1/1/2020",1
-37.568523,148.931686,"1/1/2020",1
